country,country_code,year,item,item_code,origin,Disponibilité intérieure,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Albanie,3,2013,Huile Graines de Coton,2575,vegetal,0.0,,,
Albanie,3,2013,Huile de Palmistes,2576,vegetal,0.0,,,
Albanie,3,2013,Huile de Palme,2577,vegetal,2.0,0.0,0.0,0.0
Albanie,3,2013,Huile de Coco,2578,vegetal,0.0,,,
Albanie,3,2013,Huile de Sésame,2579,vegetal,0.0,,,
Albanie,3,2013,Huile d'Olive,2580,vegetal,2.0,14.0,1.55,1.55
Albanie,3,2013,Huile de Germe de Maïs,2582,vegetal,1.0,7.0,0.74,0.74
Albanie,3,2013,Huil Plantes Oleif Autr,2586,vegetal,4.0,26.0,2.97,2.97
Albanie,3,2013,Tomates,2601,vegetal,207.0,28.0,0.33,0.33
Albanie,3,2013,Oignons,2602,vegetal,94.0,25.0,0.16,0.16
Albanie,3,2013,"Légumes, Autres",2605,vegetal,591.0,98.0,0.76,0.76
Albanie,3,2013,"Oranges, Mandarines",2611,vegetal,41.0,11.0,0.03,0.03
Albanie,3,2013,Citrons & Limes,2612,vegetal,5.0,1.0,0.01,0.01
Albanie,3,2013,Pamplemousse,2613,vegetal,0.0,0.0,,
Albanie,3,2013,"Agrumes, Autres",2614,vegetal,1.0,0.0,,
Albanie,3,2013,Bananes,2615,vegetal,20.0,10.0,0.05,0.05
Albanie,3,2013,Bananes plantains,2616,vegetal,1.0,0.0,,
Albanie,3,2013,Pommes,2617,vegetal,82.0,33.0,0.27,0.27
Albanie,3,2013,Ananas,2618,vegetal,0.0,0.0,,
Albanie,3,2013,Dattes,2619,vegetal,12.0,16.0,0.04,0.04
Albanie,3,2013,Raisin,2620,vegetal,209.0,86.0,0.4,0.4
Albanie,3,2013,"Fruits, Autres",2625,vegetal,148.0,63.0,0.43,0.43
Albanie,3,2013,Café,2630,vegetal,8.0,3.0,,
Albanie,3,2013,Feve de Cacao,2633,vegetal,2.0,13.0,1.17,1.17
Albanie,3,2013,Thé,2635,vegetal,0.0,0.0,,
Albanie,3,2013,Poivre,2640,vegetal,0.0,0.0,0.0,0.0
Albanie,3,2013,Piments,2641,vegetal,0.0,0.0,0.0,0.0
Albanie,3,2013,"Épices, Autres",2645,vegetal,0.0,0.0,0.01,0.01
Albanie,3,2013,Vin,2655,vegetal,25.0,15.0,,
Albanie,3,2013,Bière,2656,vegetal,86.0,36.0,,
Albanie,3,2013,Boissons Fermentés,2657,vegetal,0.0,0.0,,
Albanie,3,2013,Boissons Alcooliques,2658,vegetal,8.0,21.0,,
Albanie,3,2013,"Alcool, non Comestible",2659,vegetal,4.0,,,
Albanie,3,2013,Aliments pour enfants,2680,vegetal,0.0,1.0,0.01,0.01
Albanie,3,2013,Viande de Bovins,2731,animal,71.0,101.0,6.78,6.78
Albanie,3,2013,Viande d'Ovins/Caprins,2732,animal,49.0,85.0,6.72,6.72
Albanie,3,2013,Viande de Suides,2733,animal,35.0,83.0,7.9,7.9
Albanie,3,2013,Viande de Volailles,2734,animal,42.0,67.0,5.12,5.12
Albanie,3,2013,"Viande, Autre",2735,animal,0.0,0.0,0.01,0.01
Albanie,3,2013,Abats Comestible,2736,animal,11.0,11.0,0.4,0.4
Albanie,3,2013,Graisses Animales Crue,2737,animal,5.0,28.0,3.11,3.11
Albanie,3,2013,"Beurre, Ghee",2740,animal,4.0,23.0,2.65,2.65
Albanie,3,2013,Crème,2743,animal,0.0,0.0,0.02,0.02
Albanie,3,2013,Oeufs,2744,animal,47.0,46.0,3.28,3.28
Albanie,3,2013,Miel,2745,vegetal,3.0,8.0,,
Albanie,3,2013,Poissons Eau Douce,2761,animal,2.0,1.0,0.05,0.05
Albanie,3,2013,Perciform,2762,animal,3.0,1.0,0.02,0.02
Albanie,3,2013,Poissons Pelagiques,2763,animal,5.0,4.0,0.18,0.18
Albanie,3,2013,"Poissons Marins, Autres",2764,animal,2.0,1.0,0.04,0.04
Albanie,3,2013,Crustacés,2765,animal,1.0,0.0,0.0,0.0
Albanie,3,2013,Cephalopodes,2766,animal,1.0,1.0,0.01,0.01
Albanie,3,2013,"Mollusques, Autres",2767,animal,1.0,0.0,0.0,0.0
Albanie,3,2013,Animaux Aquatiques Autre,2769,animal,0.0,0.0,0.0,0.0
Albanie,3,2013,Plantes Aquatiques,2775,animal,0.0,0.0,0.0,0.0
Albanie,3,2013,Huiles de Poissons,2781,animal,0.0,0.0,0.0,0.0
